code,name,fin_class,caption,budget_ngn
21010101,SALARY,EXPENSES,PERSONNEL COST,150000000
22020101,LOCAL TRAVEL & TRANSPORT: TRAINING,EXPENSES,OPERATING EXPENSES,24277000
22020102,LOCAL TRAVEL & TRANSPORT: OTHERS,EXPENSES,OPERATING EXPENSES,49000000
22020201,ELECTRICITY CHARGES,EXPENSES,OPERATING EXPENSES,2200000
22020202,TELEPHONE CHARGES,EXPENSES,OPERATING EXPENSES,1250000
22020205,WATER RATES,EXPENSES,OPERATING EXPENSES,750000
22020206,SEWAGE CHARGES,EXPENSES,OPERATING EXPENSES,550000
22020301,OFFICE STATIONERIES/COMPUTER CONSUMABLES,EXPENSES,OPERATING EXPENSES,14500000
22020302,BOOKS,EXPENSES,OPERATING EXPENSES,1800000
22020303,NEWSPAPERS,EXPENSES,OPERATING EXPENSES,500000
22020304,MAGAZINES & PERIODICALS,EXPENSES,OPERATING EXPENSES,1000000
22020305,PRINTING OF NON SECURITY DOCUMENTS,EXPENSES,OPERATING EXPENSES,5400000
22020306,PRINTING OF SECURITY DOCUMENTS,EXPENSES,OPERATING EXPENSES,7500000
22020307,DRUGS & MEDICAL SUPPLIES,EXPENSES,OPERATING EXPENSES,570000
22020401,MAINTENANCE OF MOTOR VEHICLE/TRANSPORT EQUIPMENT,EXPENSES,OPERATING EXPENSES,2500000
22020402,MAINTENANCE OF OFFICE FURNITURE,EXPENSES,OPERATING EXPENSES,1500000
22020403,MAINTENANCE OF OFFICE BUILDING / RESIDENTIAL QTRS,EXPENSES,OPERATING EXPENSES,10000000
22020404,MAINTENANCE OF OFFICE /IT EQUIPMENTS,EXPENSES,OPERATING EXPENSES,5558000
22020405,MAINTENANCE OF PLANTS/GENERATORS,EXPENSES,OPERATING EXPENSES,6500000
22020406,OTHER MAINTENANCE SERVICES,EXPENSES,OPERATING EXPENSES,1200000
22020501,LOCAL TRAINING,EXPENSES,OPERATING EXPENSES,20000000
22020601,SECURITY SERVICES,EXPENSES,OPERATING EXPENSES,4800000
22020603,OFFICE RENT,EXPENSES,OPERATING EXPENSES,27500000
22020701,FINANCIAL CONSULTING,EXPENSES,OPERATING EXPENSES,32500000
22020702,INFORMATION TECHNOLOGY CONSULTING,EXPENSES,OPERATING EXPENSES,25540000
22020703,LEGAL SERVICES,EXPENSES,OPERATING EXPENSES,10450000
22020801,MOTOR VEHICLE  FUEL COST,EXPENSES,OPERATING EXPENSES,18540000
22020802,OTHER TRANSPORT EQUIPMENT FUEL COST,EXPENSES,OPERATING EXPENSES,5640000
22020902,INSURANCE PREMIUM,EXPENSES,OPERATING EXPENSES,1155000
22021001,REFRESHMENT & MEALS,EXPENSES,OPERATING EXPENSES,3200000
22021002,HONORARIUM & SITTING ALLOWANCE,EXPENSES,OPERATING EXPENSES,33120000
22021003,PUBLICITY & ADVERTISEMENTS,EXPENSES,OPERATING EXPENSES,17500000
22021006,POSTAGES & COURIER SERVICES,EXPENSES,OPERATING EXPENSES,1500000
22021007,WELFARE PACKAGES,EXPENSES,OPERATING EXPENSES,10500000
22021008,SUBSCRIPTION TO PROFESSIONAL BODIES,EXPENSES,OPERATING EXPENSES,1500000
23010102,PURCHASE OF OFFICE BUILDINGS,EXPENSES,CAPITAL EXPENDITURE,1200000000
23010105,PURCHASE OF MOTOR VEHICLES,EXPENSES,CAPITAL EXPENDITURE,450000000
23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,EXPENSES,CAPITAL EXPENDITURE,70000000
23010119,PURCHASE OF POWER GENERATING SET,EXPENSES,CAPITAL EXPENDITURE,40000000
23050101,RESEARCH & DEVELOPMENT (UNCAPITALISED),EXPENSES,CAPITAL EXPENDITURE,105061826467
